epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,134.705,1.21426,2.50103,1.23488,0.97709,0.18828,0.46708,0.32341,0.96692,2.34208,0.96618,0.000409357,0.000409357,0.000409357
2,289.322,1.18534,1.31599,1.21546,0.85181,0.46672,0.49849,0.35776,0.92372,1.3132,0.97944,0.000798765,0.000798765,0.000798765
3,446.417,1.15952,1.2318,1.19896,0.61257,0.31914,0.27006,0.18884,1.06411,2.33052,1.09945,0.00116067,0.00116067,0.00116067
4,592.865,1.16532,1.18187,1.20493,0.82224,0.48172,0.53161,0.36743,0.92677,1.22845,0.99748,0.00112625,0.00112625,0.00112625
5,737.195,1.1139,1.0714,1.17914,0.90881,0.60727,0.63073,0.46618,0.86097,0.9526,0.9606,0.001085,0.001085,0.001085
6,901.742,1.10884,1.02574,1.18655,0.84384,0.53644,0.55617,0.40771,0.81933,0.89587,0.93641,0.00104375,0.00104375,0.00104375
7,1061.67,1.07926,0.94133,1.16729,0.90979,0.55253,0.61148,0.43818,0.96254,0.87917,1.00193,0.0010025,0.0010025,0.0010025
8,1195.93,1.0509,0.93268,1.16098,0.902,0.64305,0.64344,0.50851,0.75293,0.772,0.92006,0.00096125,0.00096125,0.00096125
9,1341.09,1.03954,0.87319,1.14633,0.92901,0.61015,0.67779,0.53053,0.71055,0.65605,0.91951,0.00092,0.00092,0.00092
10,1484.93,1.05369,0.87511,1.16554,0.87555,0.6511,0.67967,0.49796,0.89214,0.65933,0.95185,0.00087875,0.00087875,0.00087875
11,1657.48,1.02475,0.84452,1.1428,0.91601,0.6711,0.7915,0.64547,0.66728,0.57762,0.89729,0.0008375,0.0008375,0.0008375
12,1815.45,0.99641,0.82019,1.13506,0.93633,0.6317,0.73476,0.59101,0.64139,0.62853,0.8801,0.00079625,0.00079625,0.00079625
13,1949.64,1.00242,0.81868,1.13571,0.9068,0.64461,0.70835,0.56397,0.6891,0.69177,0.89294,0.000755,0.000755,0.000755
14,2097.58,0.98761,0.7774,1.12894,0.94413,0.69551,0.73771,0.59554,0.67786,0.50197,0.88641,0.00071375,0.00071375,0.00071375
15,2242.97,0.98878,0.75799,1.12708,0.67763,0.76058,0.74457,0.61211,0.59307,0.49003,0.882,0.0006725,0.0006725,0.0006725
16,2383.94,0.95546,0.74578,1.11068,0.62942,0.77957,0.73321,0.57864,0.70891,0.59779,0.90344,0.00063125,0.00063125,0.00063125
17,2538.67,0.95177,0.72502,1.10917,0.94745,0.68467,0.73307,0.60138,0.61351,0.50083,0.87361,0.00059,0.00059,0.00059
18,2691.18,0.94101,0.69793,1.09837,0.72665,0.86869,0.82594,0.66943,0.66766,0.46379,0.88581,0.00054875,0.00054875,0.00054875
19,2839.51,0.9318,0.68729,1.09975,0.83449,0.87879,0.86898,0.70787,0.6685,0.43243,0.8844,0.0005075,0.0005075,0.0005075
20,3000.07,0.92756,0.67929,1.10192,0.74913,0.88505,0.87291,0.72568,0.6318,0.45701,0.8743,0.00046625,0.00046625,0.00046625
21,3196.52,0.72744,0.49794,0.94341,0.78955,0.93836,0.90151,0.77498,0.5608,0.43824,0.85686,0.000425,0.000425,0.000425
22,3369.93,0.7234,0.46611,0.9312,0.89219,0.95132,0.93582,0.79489,0.59379,0.42467,0.86492,0.00038375,0.00038375,0.00038375
23,3563.54,0.71272,0.439,0.92712,0.81584,0.77637,0.81937,0.70597,0.55307,0.4381,0.85363,0.0003425,0.0003425,0.0003425
24,3779.54,0.6961,0.41721,0.92329,0.79675,0.96375,0.89896,0.76876,0.56189,0.45901,0.85355,0.00030125,0.00030125,0.00030125
25,3991.61,0.68505,0.39712,0.90806,0.91093,0.91434,0.9259,0.78358,0.57332,0.39644,0.85658,0.00026,0.00026,0.00026
26,4182.07,0.67179,0.38717,0.91088,0.83888,0.93288,0.85102,0.70981,0.50977,0.37759,0.84183,0.00021875,0.00021875,0.00021875
27,4377.41,0.66544,0.37402,0.91181,0.85928,0.96418,0.91054,0.77798,0.51459,0.3644,0.83992,0.0001775,0.0001775,0.0001775
28,4599.23,0.66069,0.36627,0.90159,0.99441,0.92665,0.97895,0.83559,0.50582,0.3557,0.84067,0.00013625,0.00013625,0.00013625
29,4831.91,0.64551,0.35099,0.89926,0.87979,0.95343,0.96036,0.80008,0.5083,0.34435,0.83854,9.5e-05,9.5e-05,9.5e-05
30,5008.06,0.63486,0.33999,0.89697,0.8954,0.95123,0.96216,0.82287,0.49137,0.33403,0.83452,5.375e-05,5.375e-05,5.375e-05
